imei,approach,mae_recon
86684007269866,event,109.35336303140295
86684007269887,event,218.9382683144851
86684007269889,event,187.45877961571128
86853106211162,event,163.2859894868061
86853106211173,event,134.95491400928137
86853106211179,event,94.62696733236345
86684007269866,event_prior,107.7019193752406
86684007269887,event_prior,222.76657591090628
86684007269889,event_prior,178.09038000228966
86853106211162,event_prior,165.43772201262024
86853106211173,event_prior,133.48088350711964
86853106211179,event_prior,94.92969679936516
86684007269866,fhmm,63.97252928559644
86684007269887,fhmm,63.00503940494838
86684007269889,fhmm,115.26174178587499
86853106211162,fhmm,80.39739845335804
86853106211173,fhmm,55.842974302598726
86853106211179,fhmm,49.608994070449235
86684007269866,fhmm_1,59.208956167849095
86684007269887,fhmm_1,24.003673968131608
86684007269889,fhmm_1,110.05583288738376
86853106211162,fhmm_1,24.018847630394493
86853106211173,fhmm_1,50.226642765923124
86853106211179,fhmm_1,217.99007929947535
86684007269866,fhmm_1_dc,33.63374030688005
86684007269887,fhmm_1_dc,6.561354447715661
86684007269889,fhmm_1_dc,69.61698388990503
86853106211162,fhmm_1_dc,0.628123345247551
86853106211173,fhmm_1_dc,14.402955871132878
86853106211179,fhmm_1_dc,40.974755323369926
86684007269866,fhmm_1_survey,73.38205604135732
86684007269887,fhmm_1_survey,25.625702195359974
86684007269866,gurobi,147.01105153165045
86684007269866,gurobi_daywise,43.78243139195952
86684007269887,gurobi_daywise,46.60173119346558
86684007269889,gurobi_daywise,38.851138036703645
86853106211162,gurobi_daywise,50.65285913643986
86853106211173,gurobi_daywise,69.62172287716822
86853106211179,gurobi_daywise,212.59527234051933
86684007269866,hmm,1454.2884535005226
86684007269887,hmm,1942.482368233297
86684007269889,hmm,1409.0745068596364
86853106211162,hmm,2595.557396467655
86853106211173,hmm,2505.147085285182
86853106211179,hmm,2753.600482740378
86684007269866,template,1483.0045234559755
86684007269887,template,1086.0460517143817
86684007269889,template,748.9196358921521
86853106211162,template,1712.5251536161857
86853106211173,template,781.2688860995572
86853106211179,template,1085.5856202883217
